True_Label,Email_ID,Email_Body,Binary_Label,LLM_Prediction
legitimate,76,"Subject: Frank Johnson: Applying for the Production Engineer Role at Chrix Tech
Dear Ms. Andrews,

Please accept this letter as my application for the Production Engineer position. With a track record of resourcefulness and leadership, I’ve developed strategic initiatives that I believe will prove valuable to Chrix Technologies.

Working in this field for 9 years has given me the experience to carry out my duties diligently. I worked for Argon Industrial Services Limited for 3 years before joining KH Engineering Global Limited, which included leading:

Process improvement
Preventative maintenance
ISO standards knowledge
Resource planning and optimisation
In addition to these technical skills, I have a solid educational foundation and a strong commitment to safety and efficiency. Kindly review my attached CV for additional details. I’d be grateful for the chance to speak with you regarding my qualifications.

Thank you for your consideration.

Yours sincerely,
Frank Johnson
07423 542 785
frankjohnson@gmail.com
<Attachment: Frank-Johnson-Production-Engineer-CV.pdf (54K)>",legitimate,legitimate
ai-generated phishing,110,"Subject: Urgent: Upgrade Your [Naver] Mailbox Storage

Dear Naver User,

Your mailbox storage has reached a critical low (5% remaining). To continue uninterrupted access to your messages, please click the link below to upgrade your storage capacity immediately:

[Upgrade Your Mailbox]

For further details, refer to our Help Guide.

Best,
Naver Support Team",phishing,phishing
legitimate,97,"Subject: McCain

Dear MoveOn member,

After Super Tuesday's results and yesterday's news that Governor Mitt
Romney dropped out of the presidential race, it's clear that Senator John
McCain will be the Republican nominee.

And while the election is a long way off, he's running neck and neck with
Clinton and Obama in national polls. That's because when people think of
McCain, they think of the media portrayal as a ""maverick""--they don't
think of him as the man who helped George Bush launch the Iraq war.

But a new memo from VoteVets.org shows that when it comes to the war in
Iraq, John McCain has been the president's greatest ally from the
get-go--and most striking is the fact that his plan for Iraq going forward
is the same as Bush's: Stay indefinitely.

Take a moment to read the memo, below--you won't regret it. Then, we're
asking folks to get the word out--can you pledge to pass it on to your
friends and colleagues? The more people that know about McCain's
positions, the better.

Yes, I'll pass this on to my friends.

No, sorry.

I'm also copying the memo below this email, so you can read it here.

Thanks for all you do,

--Nita, Marika, Joan, Karin, and the MoveOn.org Political Action Team
  Friday, February 8th, 2008

P.S. VoteVets.org is an organization that helps make Iraq and Afghanistan
veterans' voices heard. Please consider donating to help their work here:
http://www.moveon.org/r?r=3401&id=12092-4776693-buMN.R&t=186

The memo is posted on their site here:
http://www.votevets.org",legitimate,legitimate
ai-generated phishing,106,"Subject:Action Required: Verify Recent Security Change on Your Account

Dear [Name],

Our records indicate that your [Google] account security settings were recently modified. If you initiated this change, no further action is required. Otherwise, click the link below to secure your account:

[Secure Your Account]

This is an automated notification; please do not reply directly.

Sincerely,
Google Accounts Team",phishing,phishing
legitimate,67,"Dear Jake,
We would like to invite you to be a panelist for a discussion at the Harvard Kennedy School on
Thursday, February 15th, 2024, from 12-1:15pm.
The Mossavar-Rahmani Center for Business and Government will cover the cost of your airfare
and one night of hotel in Cambridge.
Regards,
Dan Murphy",legitimate,legitimate
phishing,1,"Subject: Your Password for <legitimate portal site> Account Has Been Compromised
We regret to inform you that we have detected an attempt to log into your account (<email
address>) from an unauthorized application. The incident occurred on <date> at <time>
(Korea Standard Time), and the IP address used was <IP address> located in Washington,
the U.S.
In order to prevent any further unauthorized access to your account, we recommend that
you change your password immediately. You can do this by clicking on the following link:
<link to change password - legitimate>
Please note that if you fail to change your password, we may have to permanently delete or
close your account in accordance with our security policy.",phishing,phishing
ai-generated phishing,123,"Subject:Clarification Needed: Interview Follow-Up

Dear Professor [Name],

Following our previous conversation regarding North Korean policies, please review the updated interview details via the secure link below. Let us know if you have any differing perspectives or additional insights.

[Review Interview Details]

Password: [redacted]

Thank you for your time,
[Student Name]
Graduate Research, [University]",phishing,phishing
legitimate,68,"Subject: Urgent press inquiry re. McLean email
Dear Julie and Dennis,
I am a reporter at Vox Media's The Verge who is writing about the statement NOAA released Friday that
stated that,
""The Birmingham National Weather Service’s Sunday morning tweet spoke in
absolute terms that were inconsistent with probabilities from the best forecast products
available at the time.
"" I'd appreciate a response from your agency on reports that Craig
McLean said in an email that he will pursue ""the potential violations of our NOAA Administrative
Order on Scientific Integrity"" as a result of that release.
My Deadline is 12pm EST, and I can be reached via email or at 347-687-5990. I appreciate your
time and consideration.
Best regards,
Justine Calma",legitimate,legitimate
phishing,29,"Dear Ms. [Redacted],

I’m a sophomore at the University of Southern California and am very interested in graphic design of digital productions. Mr. [Redacted] suggested that I contact you.

Sony Pictures Entertainment has a reputation for excellence, and your commitment to innovative and creative design is near and dear to my heart.

I am a top student in my design program, am maintaining a 4.0 GPA, and have received a merit scholarship every semester since matriculating. I am confident that I can be an asset to your company.

I would be appreciated if you could view my resume and portfolio.
Here is the link http://ldrv.ms/1cgvRPGx

I look forward to hearing from you.

Sincerely,
Christina Karsten",phishing,phishing
phishing,41,"Dear Customer:

We noticed some suspicious activities in your account and have reviewed your activity. We’ve taken complementary measures as needed. Your account is safe now!

In addition, we see that your gmail account is currently being used in Japan, according to Google service.

This notice is in reference to your gmail account:

Access Type | Tran Description
Unknown | United States (907d:5b:41ce:2:230f:f22d:24b2:2:4b)
Browser | Japan (240d:1a:23ee:1:927d:e11a:13d:1a1e)

Sometimes Google incorrectly detects the geographic location of a device, and it may just be detecting the wrong location.

But for your security, please [check your gmail activity <URL>].

Regards,
Loss Prevention Department",phishing,phishing
phishing,45,"Subject: DPRK FINAL
I would appreciate it if you could inform me of the receipt and also share your opinion.

https://policy.carnegieinsider.com

Signature:

Best regards,
Prof. Georgy Toloraya,
Chair of Project Analysis, ""Russkiy Mir"" Foundation
Executive Director, Russian National Committee on BRICS Research
Director, Asian Strategy Center, Institute of Economics, Russian Academy of Science
http://nkiBRICS.ru",phishing,phishing
legitimate,61,"Subject: Interview Request – William F. Buckley Jr. Biography
Dear Mr. Casey, I am working on a biography of William F. Buckley Jr., to be published by Simon & Schuster. Mr. Buckley has kindly granted me access to his papers at Yale and agreed to about 20 hours of interviews. I would very much like to interview you as part of this project, given your acquaintance with Mr. Buckley dating back to 1952 (including your role in incorporating National Review). I would be happy to answer any questions about my book or credentials. Thank you for considering my request, and I hope we can arrange a convenient time to speak.",legitimate,legitimate
ai-generated phishing,124,"Subject: Invitation to Contribute: Policy Analysis Article

Dear [Think Tank Employee],

On behalf of [Another Think Tank], I invite you to compose a 1,200-word article on recent North Korean missile launches and their broader implications. Your analysis on topics such as potential nuclear tests and regional defense strategies would be greatly valued.

Please submit your contribution by [Oct 21, 2025]. An honorarium of approximately USD 480 will be provided.

Best regards,
[Sender Name]
Senior Fellow, [Think Tank]",phishing,legitimate
phishing,25,"Subject: Notification regarding your fraudulent account registration
This is the <legitimate portal site> operation team, and we regret to inform you that your ID
<redacted> has been registered as a fraudulent account. To prevent any further harm, we
recommend that you take immediate action.
We kindly request you to verify your identity as soon as possible to ensure the safety and
security of your account. You can do this by visiting the member information page and
checking the registered name. We also advise you to change your password to keep your
account protected. Please be aware that the fraudulent account registration occurred on
00:00, 00/00/0000.
To unlock your account, please follow the link provided below:
<unlock your account: link>
Thank you for choosing <legitimate portal site> as your trusted ",phishing,phishing
phishing,26,"Dear Fellow Americans,

We are going through unprecedented times because of Covid-19 pandemic.

Your Federal Government wants to reassure you we are with you in this difficult time.

We have created Direct-pay Government Benefits schemes, which can provide you support up to $1000 per person in your family. We recommend you update your personal and bank details using link [<URL>]

Direct-pay benefit program is on top of grant schemes: Supplemental Nutrition Assistance Program (SNAP), Subsidized Housing, Housing Voucher and Public Housing program, Welfare or Temporary Assistance for Needy Families (TANF)

Under direct payment schemes all USA citizens will get $1000 into their bank accounts, if you don't have access to you bank, a cheque will send to your communication address. 

Regards, USDA, United States",phishing,phishing
phishing,24,"Title: <legitimate Investigator> of <legitimate investigation agency>.
I am <legitimate Investigator> of <legitimate investigation agency>.
I’m writing to inform you that someone has published content on YouTube using your email
account that violates the National Security Law.
Link: https:// HYPERLINK ""https://%3cyoutube/""< HYPERLINK
""https://%3cyoutube/""YouTube video link>. The video was posted on <Date: 0000. 0. 00.>
by <target>
We also suspect that the same user has posted content that slanders North Korean
defectors. We need your cooperation to identify the real publisher of these posts.
1. Provide us with your computer media access control address (MAC address) and
Ethernet hardware address, as they are needed to track any illegal access to your email
account.
2. If you cannot locate these addresses in your computer system, please run the program
below and send us the resulting document: <check tool.zip>
3) Please respond to this email within 24 hours and delete it immediately after sending your
reply.
Thanks you for your cooperation",phishing,phishing
legitimate,95,"Subject: University Remote Work Policy Update
Dear colleagues,

I am writing to share an update to the University’s policy on Flexible Work Arrangements (FWAs), and more specifically, remote work. While University Services is committed to delivering services in person, and we only have a handful of employees who work remotely, I wanted to share with all of you the details around this policy change.

As of September 1, 2023, the University’s guidance will change from allowing up to 2 to allowing up to only 1 remote workday per week, unless certain exceptions apply. For some other departments, this is a significant change. My goal with this email is to share the rationale for this decision.

This decision follows 18 months of analysis and discussion by Cabinet units regarding Flexible Work Arrangements (FWAs) for remote work. Along with our colleagues across the campus, we assessed the extent to which our current remote work approach is working well, and where it has raised challenges for Princeton’s fundamentally residential and in-person academic mission.

We have collectively determined that our current allowance is not optimal for maintaining principal and consistent in-person and on-site presence across University departments, which is essential to supporting Princeton’s culture and its research and teaching mission. To be sure, the pandemic has taught us all that there is value in remote work flexibility, which is why the new guidance will allow for one day of remote work per week. Moreover, the University recognizes the need for greater flexibility in some specific and limited circumstances, which is why the new policy articulates criteria for remote work beyond one day a week.

The goal of this new approach is to optimize operations, to prevent the fraying of our University’s culture, to foster the development of and sustained meaningful professional connections that enable individual and collective excellence, and to maintain important flexibility for individuals, based on job and operational allowability. The policy seeks to better align for the long term the University’s work environment with our cultural commitment to performance excellence, professional development, collaboration, colleagueship, and high service levels in furtherance of the University’s educational mission.

Accordingly, the updated remote work guidance will shift by September 1, 2023 to a maximum of 1 remote workday each week, job allowable, unless a unit’s Cabinet officer approves an exception for specific individuals and roles based on the strict criteria set forth below.

Cabinet Officer Exception Criteria Beyond 1 Day Per Week Remote For Recurring Remote Work:

Space limitations and physical constraints at work location such that there is not available workspace for the employees designated for remote work.
Acute/persistent recruitment markets for specific jobs/industries wherein additional remote work time has become normalized such that denying remote work would significantly compromise our ability to hire and/or attract and retain appropriately qualified staff; this determination must be made in consultation with HR Talent Acquisition and will be reviewed periodically.
Significant performance and productivity improvement supported by clear and documented evidence/data for specific types of jobs. This is intended to be a rare exception applicable to a very small number of jobs at the University given the importance of in-person collaboration in general.
Temporary circumstances (including changes in staffing needs during specific seasonal periods, such as outside the academic year, or other specific short-term situations, typically 3 months or shorter in duration) or transitions for planned separations such as phased retirements.
All exceptions granted to individuals to enable remote work for more than one day per week will be subject to periodic review at least every 6 months, as is the case with all FWAs. As is true with respect to all flexible work arrangements under our policy, the “University retains discretion to discontinue FWAs in the best interest of the unit/department at any time.”

As a service organization, University Services will continue to set a high bar for approving regular remote work schedules. However, I would encourage those interested in FWAs to review HR policy 5.1.4 Flexible Work Arrangements(Link is external) and a related set of FAQs(Link is external) and to discuss with their managers.

Note that per HR policy, the University continues to encourage supervisors to permit reasonable flexibility in the normal course of business and operations to accommodate the periodic needs of individuals to manage personal affairs, aside from formal recurring flexible work arrangements/remote arrangements. Consequently, the exception criteria do not intend to cover ad hoc requests by an employee to work remotely (e.g., working at home while waiting for a delivery). Instead, the exception criteria apply to requests for routine or regularly recurring remote work arrangements that exceed one day of remote work per week.

I feel optimistic that this revision to the policy will further strengthen our ability to work collaboratively with each other and with our campus partners.

Thank you for your unwavering commitment to service for the Princeton community.

Best regards,

Chad L. Klaus
Vice President, University Services",legitimate,legitimate
phishing,40,"Subject: Impending Abandonment of the US-DPRK

Attachment: 03-02.doc

Good morning,
We are sending materials on the situation on the Korean Peninsula.

Best regards,
UN Security Council Sanctions Division",phishing,phishing
legitimate,96,"Subject: [UAI] Second Call for Participants(IWNICA'2004)

We apologize if you recieve multiple copies. 

Second Call for Participants 
2004 International Workshop on Nature Inspired Computation and
Applications (IWNICA'2004)
October 25-29, 2004, Hefei, P. R. China
http://nical.ustc.edu.cn/nica2004/


Nature Inspired Computation, which is inspired from natural systems, has
the unique character of self-adaptive, self-organizing and
self-learning. Because of its ability to solve complex problems that are
difficult for traditional computational methods, Nature Inspired
Computation is now successfully used in many fields such as
Combinational Optimization, Machine Learning, Data Mining and
Engineering Design, etc.

The 2004 International Workshop on Nature Inspired Computation and
Applications will be held on October 25-29, 2004 at the University of
Science and Technology of China (USTC), Hefei, P. R. China. The aim of
this Workshop is to further explore the theories and applications of
Nature Inspired Computation and identify future research directions. The
Workshop provides an excellent opportunity for participants to hear from
many distinguished international experts in the field and exchange ideas
with them. The official language of the Workshop is English.

1. Main Topics
The topics of the workshop include, but are not limited to:
* Basic Methods in Nature Inspired Computation
* Theoretic Foundations and Performance Analysis for Nature Inspired
Computation
* Applications of Nature Inspired Computation
* High Performance Computation Inspired by Nature
* Novel Algorithms in Nature Inspired Computation

2. Invited Speakers
Distinguished experts will give lectures on Nature Inspired Computation
and its applications. For detailed information, please refer to
http://nical.ustc.edu.cn/nica2004/.

So far, the experts who have confirmed to give the lectures at
IWNICA'2004 include:

	Prof. Wolfgang Banzhaf		The Memorial University of
Newfoundland, Canada
	Prof. Bill Buckles		The Tulane University, USA
	Prof. Guoliang Chen		University of Science and
Technology of China, P. R. China
	Prof. David Corne		The University of Exeter, UK
	Prof. Aike Guo			Chinese	Academy of Sciences, P.
R. China
	Prof. Lichen Jiao		Xidian University, P. R. China
	Dr. Roy Johnston		The University of Birmingham, UK
	Prof. Lishan Kang		Wuhan University, P. R. China
	Prof. Peter Ross		The Napier University, UK
	Prof. Marc Schoenauer		Senior researcher at INRIA,
France
	Prof. Edward Tsang		The University of Essex, UK
	Prof. Xufa Wang			University of Science and
Technology of China, P. R. China
	Prof. Xin Yao			The University of Birmingham, UK
	Prof. Bo Zhang/Ling Zhang	Tsinghua University/Anhui
University, P. R. China
	Prof. Yixin Zhong		Beijing University of Posts and
Telecommunications, P. R. China
	Prof. Zhi-Hua Zhou		Nanjing University, P. R. China

3. Registration and Important Date
Anyone who is interested in nature inspired computation and applications
is welcome.
Registration: Please browse the workshop homepage:
http://nical.ustc.edu.cn/nica2004/ for detailed information and download
the registration form.
Deadline for Early Registration: September 30th, 2004.
On-site registration is available.

4. Contacts
Workshop homepage: http://nical.ustc.edu.cn/nica2004/

For further information, please contact:
Prof. Xufa Wang
Department of Computer Science and Technology,
University of Science and Technology of China,
Hefei, 230027, P. R. China
Tel: 86-551-3601812    Fax: 86-551-3601013    Email:
bqxp0785@ustc.edu.cn

Dr. Wenjian Luo
Department of Computer Science and Technology,
University of Science and Technology of China,
Hefei, 230027, P. R. China
Tel: 86-551-3602824-1   Fax: 86-551-3601013    Email: wrskl@ustc.edu.cn",legitimate,legitimate
ai-generated phishing,118,"Subject: Invitation from [Korean Journal Program] – Expert Query

Greetings [Name],

I am [Writer Name] from [Legitimate Korean Journal Program]. As we prepare an in‐depth feature on North Korean affairs, your expertise is highly recommended by Professor [Name] from [University].

Please spare a few moments to answer a short questionnaire via the secure link below:

[Questionnaire Link]

Thank you for your cooperation.

Best regards,
[Writer Name]",phishing,phishing
phishing,48,"Hello!

I am driving to the [Redacted] office, but I’m late. Excuse me.
I have to show you this presentation (PDF-preview) before 3 p.m.
Check it please: https://presentation-pdf-02-03-21.gr8.com (copy and paste to browser). I will be soon.

With respect,
[Redacted]
Sent from iPhone",phishing,phishing
legitimate,98,"Dear <redacted>
Birth date: <redacted>
Test date: <redacted>
NHS Number: <redacted>

Your coronavirus lateral flow test result is negative. It’s likely you were not infectious when the test was done.

Keep following coronavirus advice including:

regular handwashing
social distancing
wearing a face covering where recommended
You only need to self-isolate if:

you get symptoms of coronavirus – you’ll need to book a different test at https://www.gov.uk/get-coronavirus-test
someone you live with tests positive, or has symptoms and has not been tested yet
you’ve been traced as a contact of someone who tested positive
For medical help, contact 111. In an emergency dial 999.

See https://www.gov.uk/coronavirus for more advice",legitimate,legitimate
ai-generated phishing,114,"Subject: Quick Follow-Up on the Q2 Report

Hello [Recipient Name],

I hope your day is going well. I’m following up on the Q2 Performance Report we discussed at last week’s planning session. We’ve made a few changes based on feedback from senior management, so it’s important that you review and confirm everything is correct. There have also been some updates regarding next quarter’s budget allocations that I need your input on right away.

Here’s your secure link to access the updated Q2 file:
Review Document

Please take a look and let me know if you have any questions. I’d appreciate it if you could finalize your comments before Wednesday so that we can keep things moving smoothly.

Thank you for your prompt help on this—I know it’s a busy time of year for everyone.

Best,
Brian Collins
Senior Analyst, Finance Department
YourCompany, Inc.
(555) 123‑4567",phishing,phishing
phishing,34,"Subject: Coronavirus disease (COVID-19) Important Communication.

Attachment: COVID 19 - WORLD HEALTH ORGANIZATION CDC_DOC.zip.arj (371 KB)

Due to the high volume of misinformation being spread about the Coronavirus disease (COVID-19) pandemic, we put together a comprehensive document that contains guidelines & WHO recommendations. This document contains:

Guide to local production of WHO-recommended Handrub Formulations.
Infection prevention and control during health care when novel coronavirus (nCoV) infection is suspected.
Infection Prevention and Control for the safe management of a dead body in the context of COVID-19.
IPC guidance for long-term care facilities in the context of COVID-19.
Consideration for quarantine of individuals in the context of containment for coronavirus disease (COVID-19).
Health workers exposure risk assessment and management in the context of COVID-19 virus.
Rational use of personal protective equipment for coronavirus disease (COVID-19).
Advice on the Use of Masks.
Home care for patients with suspected novel coronavirus (nCoV) infection presenting with mild symptoms and management of contacts.
Q&A on infection prevention and control for healthcare workers caring for patients with suspected or confirmed 2019-nCoV.
For any questions related to COVID-19 and infection prevention and control (IPC), please contact: WHOipc@who.int

Centre for Disease Control (CDC)
World Health Organization",phishing,phishing
ai-generated phishing,139,"Subject: Critical COVID-19 Safety Measures – Download Now  

Dear Sir,  

Please review the attached document regarding important safety measures for the ongoing COVID-19 pandemic.  

This document provides key information that could help protect you and others. Please click here to download:  
[link]  

Stay safe,  
Dr. [Name Redacted], Singapore Specialist
Attachment: Safety_Measures.pdf
",phishing,phishing
ai-generated phishing,102,"Subject: Immediate Action Required: Account Security Alert

Dear [Name],

We have detected an unusual login attempt on your [portal site] account on [date] at [time] (KST) from IP address [IP address] originating in Washington. For your protection, please click the secure link below to verify your identity and update your password immediately:

[Secure Reset Link]

Failure to verify may result in temporary suspension of your account.

Sincerely,
Security Team",phishing,phishing
legitimate,63,"Subject: Interview Request – Wisconsin Public Radio (Morning Show)
Hello, I’m a producer with Wisconsin Public Radio. We would like to invite John Podesta to join our live morning program this Friday, February 20, from 8:00–9:00 AM EST. The discussion will focus on recent developments in U.S. politics and we believe Mr. Podesta’s insights would be extremely valuable to our listeners. Would Mr. Podesta be available for a phone interview during that hour? If necessary, we can pre-record at his convenience. Please let us know as soon as possible – we are happy to coordinate through his staff (c/o Eryn Sepp). Thank you for considering our request; we hope to hear from you soon.
Best regards,
[Producer Name]
Wisconsin Public Radio – [Show Name]",legitimate,legitimate
legitimate,85,"Updated Terms of Service and new Site Policy repository
We're updating our Terms of Service and Corporate Terms of Service. These revisions are the result of community feedback, along with clarifications and improvements to the readability of both documents. All changes are in separate pull requests in a new working repository, github/site-policy. Here, you can view, comment, and suggest additional updates—or fork a copy to adapt for your own site.

Please submit your comments by 5:00 pm PST on Friday, July 28. After that, we’ll take a week to go through your comments and make changes to improve the Terms. The new Terms will become effective on Monday, August 7.

Pull requests welcome
We welcome you to look over our changes and share your input using the new Site Policy repository. Please follow our Contributor Guidelines, and let us know if you see anything you think should be different—whether it’s a missed typo or a rule that might have implications we haven’t thought of.

Overview of changes
Updates to GitHub Terms of Service: Added a “Private Repositories” section as Section E, updated the licenses granted in Section D for clarity, and updated the Complete Agreement subsection in Section S, “Miscellaneous”

Updates to GitHub Corporate Terms of Service: Added a ""Private Repositories"" section as Section E, updated the licenses granted in Section D for clarity, updated the Complete Agreement subsection, and added a Publicity subsection to Section S, ""Miscellaneous""

Added a product description to the GitHub Business Plan Addendum

Updated the Amendment to GitHub Terms of Service Applicable to U.S. Federal Government Users to reflect previous changes to notification policy

Can't comment before July 28? No problem! The site policy repository is always open, so you can send us feedback any time. Check out the blog post to learn more, or give us your feedback. We'd love to hear if our project helped you create policy foundations for your business.

Email preferences · Terms · Privacy · Sign into GitHub

GitHub, Inc.
88 Colin P Kelly Jr St.
San Francisco, CA 94107",legitimate,legitimate
ai-generated phishing,149,"Subject: Presentation Due – Urgent Action Required  

Hello,  

I’m running late for the meeting, but I must show you the presentation before 3 PM. Please review it here:  
[link]  

I’ll be arriving soon.  

Best regards,  
[Name Redacted]
",phishing,phishing
legitimate,54,"Welcome back to your account – it has been recovered successfully. If you suspect you were locked out because of changes made by someone else, you should review and protect your account. Review your account to check for any unauthorized changes. You received this email to let you know about important changes to your Google Account and services",legitimate,legitimate
phishing,6,"STATE DEPARTMENT FEDERAL CREDIT UNION

Dear Customer:

We noticed some suspicious activities in your account and have reviewed your activity. We’ve taken complementary measures as needed. Your account is safe now!

In addition, we see that your gmail account is currently being used in Japan, according to Google service.

This notice is in reference to your gmail account:

Access Type	Tran Description
Unknown	United States (907d:5b:41ce:2:230f:f22d:24b2:e4b)
Browser	Japan (240d:1a:23ee:1:927d:e11a:13d1:a1e)
Sometimes Google incorrectly detects the geographic location of a device, and it may just be detecting the wrong location.

But for your security, please check your gmail activity.

Regards,

Loss Prevention Department",phishing,phishing
legitimate,94,"Subject: postfix + dkim-filter + email lists - milter troubles (can't read SMFIC_HEADER)

Had some trouble deploying dkim-milter-2.4.4 on postfix-2.4.6 (debian etch backports - tried etch 2.3.8 and had the same troubles) and mailman_2.1.9-7. 

DKIM-milter is deployed and signing and verifing mode with its primary intent to sign emails on lists.cacert.org mailing lists.

Feb  7 09:27:09 lists postfix/master[22912]: daemon started -- version 2.4.6, configuration /etc/postfix
I deployed it as a typical and sole milter
smtpd_milters = unix:extern-milter/dkim-filter.sock
non_smtpd_milters = $smtpd_milters

Testing on a tiny email list and the email came through signed by dkim.

Feb  7 10:28:29
an email when through to a larger email list poptem-kkrrvq@lists.cacert.org without any error

after a significant number of hours without a peep out of dkim-filter I start to get.

Feb  7 14:40:05 lists postfix/cleanup[15075]: F13C6108238: message-id=<95690946646473.5e95gt09s6@hlin.cacert.org>
Feb  7 14:40:05 lists postfix/cleanup[15075]: warning: milter unix:extern-milter/dkim-filter.sock: can't read SMFIC_HEADER reply packet header: Connection reset by peer
Feb  7 14:40:05 lists postfix/cleanup[15075]: F13C6108238: milter-reject: END-OF-MESSAGE from lists.cacert.org[172.16.2.17]: 4.7.1 Service unavailable - try again later; from= to= proto=ESMTP helo=
Feb  7 14:40:05 lists postfix/smtpd[15071]: disconnect from lists.cacert.org[172.16.2.17]
Feb  7 14:40:05 lists postfix/smtpd[15071]: connect from lists.cacert.org[172.16.2.17]
Feb  7 14:40:05 lists postfix/smtpd[15071]: 05DE1108238: client=lists.cacert.org[172.16.2.17]
Feb  7 14:40:05 lists postfix/cleanup[15075]: 05DE1108238: message-id=<95690946646473.5e95gt09s6@hlin.cacert.org>
Feb  7 14:40:05 lists postfix/cleanup[15075]: warning: milter unix:extern-milter/dkim-filter.sock: can't read SMFIC_HEADER reply packet header: Connection reset by peer
Feb  7 14:40:05 lists postfix/cleanup[15075]: 05DE1108238: milter-reject: END-OF-MESSAGE from lists.cacert.org[172.16.2.17]: 4.7.1 Service unavailable - try again later; from= to= proto=ESMTP helo=

These occured for these same to email recipients, every 15 minutes from until Feb  7 21:00:15 when I woke up in a haze. noticed it was failing and turned it off.
The dkim-milter still seems to be running happliy on its unix socket.

This is also noted on 
http://sourceforge.net/mailarchive/message.php?msg_id=476123D1.5000602%40hetnet.nl
(the second error). I still can't get a total grasp of whats happing though.

Any tips on how to isolate this error would be really welcome as I really don't want to be trialing on a live system too much.

-- 

Daniel Black
--
Proudly a Gentoo Linux User.
Gnu-PG/PGP signed and encrypted email preferred
http://pgp.mit.edu:11371/pks/lookup?op=get&search=0x76677097
GPG Signature D934 5397 A84A 6366 9687  9EB2 861A 4ABA 7667 7097",legitimate,legitimate
ai-generated phishing,112,"Subject: Flight Ticket Payment Confirmation

Hello [Name],

Your flight ticket payment of ₩40,400 has been successfully processed. Please find the attached confirmation document for your records. Note that the download link is valid for 3 days, expiring on [expiry date].

For any queries, please contact Korean Air support.

Regards,
Korean Air",phishing,phishing
phishing,50,"I am writing to inquire as to whether you would be interested in reviewing a manuscript that we are considering publishing. It is entitled ""NK nuclear threat"". Given your expertise, your views on this proposal would be extremely helpful.

If you would like to take this on, please let me know, and I will send you over a complete draft script.

[...]

Thank you for your time and I look forward to hearing from you soon.

With best wishes,
[Redacted]
",phishing,phishing
phishing,36,"Dear Citizens in Korea,

In March 2020, the government’s new policy regarding support for businesses, along with welfare department (MOM) updates, has been announced. This specific update allows for citizens from other regions to receive up to 100,000 KRW depending on the situation.",phishing,phishing
legitimate,81,"Dear [name redacted], 
I hope this message finds you well.
My name is Tiana Lakhani, and I am a senior at Stanford University studying International Relations. I am currently conducting research for my honors thesis, titled “AI in Shadows,” which explores the evolution of North Korea’s cyber activities from 2009 to 2024, with a focus on the role of AI in cyberwarfare.
I was recommended I speak to you by Stephen Kotkin and Rachel George - they mentioned you would be a great person to speak to on this topic. Given your expertise and work on North Korea, I would greatly value the opportunity to hear your insights and perspectives on any of the following: North Korean cyber operations and how they have evolved, and recommendations for US and global cyber defence, especially in light of increasing AI use. 
My thesis aims to address critical questions such as:
What is the current state of US and global cybersecurity in response to state-sponsored attacks?
How does North Korea’s state-sponsored cyber operations differ from other actors, such as China and Russia?
How has North Korean cyber operations evolved over time?
How does the rise of AI amplify the urgency of addressing cyber threats? And how should we prepare?

I developed an interest in this topic through my research work with the Committee for Human Rights in North Korea, where I contributed to reports with UN Special Rapporteurs and published a dedicated project on North Korean cyberwarfare.
The interview would take approximately 30 minutes and can be scheduled at a time convenient for you. I am happy to accommodate your availability and conduct the interview over Zoom or phone call, whichever you prefer. 
Thank you so much for considering my request. Please feel free to let me know if you have any questions or require further information about my research. I look forward to the possibility of learning from your expertise.
Warm regards,
Tiana Lakhani

Stanford University | Department of International Relations
tianalk@stanford.edu
+1 650 334 6631",legitimate,legitimate
legitimate,78,"HHS.gov
U.S. Department of Health & Human Services

Need guidance on vaccinations for your children? The Food and Drug Administration (FDA) has developed a guide for parents and caregivers on vaccines for children. Learn more about the benefits and risks associated with vaccines, the types of vaccines routinely administered for children, and the steps to take when your child is vaccinated.

A Guide to Vaccinating Your Children",legitimate,legitimate
phishing,35,"Dear Citizen,

Due to the ongoing impact of the COVID-19 pandemic, our government has introduced financial assistance programs that will provide help to you.

Additionally, over the past few months, we have launched the ""Work Support Program (MOM)"" designed to assist your family, and today a new supplementary program (JSS) has been introduced, which provides up to $750 per company for employees to receive as the first installment.
",phishing,phishing
ai-generated phishing,115,"Subject: Follow-Up: Document Submission and Feedback

Dear [Name],

Thank you for agreeing to review our draft document. Please find the secure file attached. The attachment is password protected; the password will be sent in a separate correspondence shortly.

Your feedback is essential to our project. We appreciate your timely response.

Sincerely,
[Sender Name]
[Think Tank] Communications",phishing,phishing
phishing,8,"Hello,

This is [redacted] from the National Assembly of Korea.

The National Assembly [redacted] is currently preparing a report by gathering expert opinions from domestic and international Korea analysts to better and more quickly assess and forecast international developments. For this purpose, we are reviewing major events and changes from the year 2022 and projecting the situation on the Korean Peninsula for 2023.

The title of the report is: “Assessment of the Korean Peninsula Situation in 2022 and Outlook for 2023.”

We are reaching out to invite your participation in this data request.

The topic you contribute can relate to the 2022 Korean Peninsula outlook and may cover areas such as politics, diplomacy, or national defense — feel free to select the area you are most comfortable with.

If you let us know in advance which field you'd like to contribute to, we will coordinate accordingly and provide specific next steps.

As a side note, a modest honorarium of about 300,000 KRW (~$230 USD) has been set.

Even if your schedule doesn't allow participation, we would appreciate a reply to assist with our process.

Thank you.
Sincerely,
Kim [redacted]
",phishing,phishing
